,Symbol,Contract,Date,Open,High,Low,Close,Volume
2156,TX,201703,2017/1/24,9415,9453,9397,9435,3464
2160,TX,201702,2017/2/2,9500,9510,9373,9375,275618
2162,TX,201703,2017/2/2,9478,9497,9362,9365,6288
2166,TX,201702,2017/2/3,9418,9458,9408,9439,189484
2171,TX,201703,2017/2/3,9404,9445,9396,9429,5388
2175,TX,201702,2017/2/6,9477,9533,9441,9505,233366
2179,TX,201703,2017/2/6,9463,9521,9433,9493,7228
2184,TX,201702,2017/2/7,9499,9525,9482,9520,140248
2188,TX,201703,2017/2/7,9495,9516,9474,9512,4936
2192,TX,201702,2017/2/8,9513,9535,9463,9515,220918
2197,TX,201703,2017/2/8,9509,9525,9456,9506,8328
2202,TX,201702,2017/2/9,9518,9579,9505,9576,208176
2207,TX,201703,2017/2/9,9503,9563,9494,9562,14388
2212,TX,201702,2017/2/10,9600,9681,9586,9658,253890
2217,TX,201703,2017/2/10,9587,9670,9573,9649,19022
2222,TX,201702,2017/2/13,9670,9705,9661,9705,183218
2227,TX,201703,2017/2/13,9663,9692,9655,9690,34238
2231,TX,201702,2017/2/14,9729,9758,9695,9710,253636
2235,TX,201703,2017/2/14,9709,9747,9683,9700,59140
2240,TX,201702,2017/2/15,9726,9801,9722,9800,130646
2245,TX,201703,2017/2/15,9723,9805,9713,9802,136864
2250,TX,201703,2017/2/16,9819,9852,9758,9772,270334
2255,TX,201704,2017/2/16,9800,9832,9743,9756,3368
2261,TX,201703,2017/2/17,9760,9786,9747,9762,154252
2265,TX,201704,2017/2/17,9739,9770,9735,9750,2306
2269,TX,201703,2017/2/18,9778,9789,9772,9788,46518
2274,TX,201704,2017/2/18,9759,9774,9758,9772,898
2279,TX,201703,2017/2/20,9786,9814,9737,9766,202380
2284,TX,201704,2017/2/20,9774,9800,9725,9753,2752
2288,TX,201703,2017/2/21,9777,9785,9728,9766,199516
2292,TX,201704,2017/2/21,9767,9771,9718,9755,2978
2296,TX,201703,2017/2/22,9783,9827,9767,9783,242804
2299,TX,201704,2017/2/22,9775,9812,9756,9771,4324
2304,TX,201703,2017/2/23,9780,9820,9755,9772,230310
2308,TX,201704,2017/2/23,9771,9805,9743,9760,4048
2313,TX,201703,2017/2/24,9770,9786,9730,9761,199000
2317,TX,201704,2017/2/24,9756,9773,9722,9751,3118
2322,TX,201703,2017/3/1,9766,9770,9678,9682,275484
2327,TX,201704,2017/3/1,9755,9755,9669,9673,4590
2332,TX,201703,2017/3/2,9761,9784,9643,9691,317522
2335,TX,201704,2017/3/2,9749,9771,9635,9680,7542
2339,TX,201703,2017/3/3,9648,9672,9623,9629,243520
2343,TX,201704,2017/3/3,9636,9660,9613,9617,5920
2347,TX,201703,2017/3/6,9639,9684,9619,9683,196244
2352,TX,201704,2017/3/6,9630,9670,9607,9668,5388
2356,TX,201703,2017/3/7,9693,9734,9682,9727,188700
2360,TX,201704,2017/3/7,9675,9719,9668,9714,5918
2364,TX,201703,2017/3/8,9736,9765,9701,9748,226610
2368,TX,201704,2017/3/8,9728,9750,9689,9734,8610
2372,TX,201703,2017/3/9,9739,9742,9642,9652,277266
2377,TX,201704,2017/3/9,9728,9728,9634,9640,17356
2381,TX,201703,2017/3/10,9647,9652,9555,9625,307656
2386,TX,201704,2017/3/10,9635,9640,9547,9615,24624
2390,TX,201703,2017/3/13,9644,9698,9643,9692,218522
2394,TX,201704,2017/3/13,9630,9685,9630,9683,34820
2399,TX,201703,2017/3/14,9713,9767,9711,9749,203360
2404,TX,201704,2017/3/14,9707,9758,9703,9742,47378
2409,TX,201703,2017/3/15,9742,9752,9715,9732,128624
2414,TX,201704,2017/3/15,9740,9743,9706,9726,98894
2421,TX,201704,2017/3/16,9805,9852,9782,9840,247702
2426,TX,201705,2017/3/16,9790,9837,9770,9828,3086
2430,TX,201704,2017/3/17,9850,9896,9837,9890,190122
2434,TX,201705,2017/3/17,9840,9884,9826,9877,3098
2438,TX,201704,2017/3/20,9870,9908,9855,9895,174676
2441,TX,201705,2017/3/20,9864,9895,9843,9885,3150
