,Strike Price,Date,Open,High,Low,Close,Volume
14905,8400,2018-05-09,2.8,2.8,2.5,2.6,110.0
14906,8500,2018-05-09,3.2,3.2,2.8,2.9,216.0
14907,8600,2018-05-09,3.5,3.5,3.2,3.2,82.0
14908,8700,2018-05-09,3.5,3.8,3.3,3.3,84.0
14909,8800,2018-05-09,4.6,4.7,4.0,4.1,160.0
14910,8900,2018-05-09,4.6,4.6,4.5,4.5,32.0
14911,9000,2018-05-09,6.2,6.2,5.3,5.5,960.0
14912,9100,2018-05-09,6.3,6.3,6.3,6.3,4.0
14913,9200,2018-05-09,8.4,8.4,7.0,7.0,114.0
14914,9300,2018-05-09,8.0,9.3,8.0,8.7,314.0
14915,9400,2018-05-09,10.5,11.0,9.2,9.2,1312.0
14916,9500,2018-05-09,12.0,12.0,10.5,10.5,340.0
14917,9600,2018-05-09,14.5,17.0,12.0,12.0,422.0
14918,9700,2018-05-09,17.0,17.0,14.0,14.5,918.0
14919,9800,2018-05-09,21.5,23.5,16.5,18.0,1444.0
14920,9900,2018-05-09,27.5,27.5,20.0,21.0,2024.0
14921,10000,2018-05-10,28.5,28.5,20.0,20.0,4724.0
14922,10100,2018-05-10,33.5,33.5,24.0,24.5,1632.0
14923,10200,2018-05-10,45.0,45.0,30.0,30.0,2708.0
14924,10300,2018-05-10,59.0,59.0,36.5,36.5,4304.0
14925,10400,2018-05-10,76.0,76.0,49.0,50.0,3344.0
14926,10500,2018-05-10,101.0,101.0,66.0,69.0,3632.0
14927,10600,2018-05-10,131.0,131.0,90.0,90.0,2360.0
14928,10700,2018-05-10,165.0,165.0,118.0,118.0,2382.0
14929,10800,2018-05-10,226.0,226.0,160.0,162.0,1144.0
14930,10900,2018-05-10,266.0,275.0,207.0,211.0,390.0
14931,11000,2018-05-10,350.0,350.0,280.0,280.0,288.0
14932,11100,2018-05-10,425.0,425.0,359.0,359.0,68.0
14933,11200,2018-05-10,472.0,490.0,445.0,445.0,18.0
14934,11300,2018-05-10,570.0,570.0,520.0,520.0,10.0
14935,11400,2018-05-10,665.0,675.0,665.0,675.0,4.0
14936,11800,2018-05-10,1070.0,1070.0,1070.0,1070.0,4.0
14937,8200,2018-05-10,2.5,2.5,2.0,2.1,1318.0
14938,8400,2018-05-10,2.3,2.4,2.3,2.4,40.0
14939,8500,2018-05-10,2.6,2.7,2.6,2.7,124.0
14940,8600,2018-05-10,2.9,3.0,2.8,2.9,108.0
14941,8700,2018-05-10,3.4,3.4,3.2,3.2,38.0
14942,8800,2018-05-10,3.8,3.8,3.8,3.8,46.0
14943,8900,2018-05-10,4.2,4.3,4.2,4.3,24.0
14944,9000,2018-05-10,5.5,5.5,4.5,4.5,222.0
14945,9100,2018-05-10,5.0,5.5,5.0,5.5,54.0
14946,9200,2018-05-10,7.1,7.1,6.0,6.0,294.0
14947,9300,2018-05-10,7.1,7.2,7.1,7.1,36.0
14948,9400,2018-05-10,8.2,8.5,7.8,7.8,368.0
14949,9500,2018-05-10,9.6,10.0,9.2,9.2,198.0
14950,9600,2018-05-10,12.0,12.0,10.5,10.5,346.0
14951,9700,2018-05-10,14.5,14.5,12.0,12.0,214.0
14952,9800,2018-05-10,16.5,16.5,13.0,13.0,2520.0
14953,9900,2018-05-10,20.5,20.5,16.0,16.5,1150.0
14954,10000,2018-05-11,19.5,21.5,16.0,17.0,4862.0
14955,10100,2018-05-11,23.5,26.0,18.0,20.0,2108.0
14956,10200,2018-05-11,29.5,32.0,23.0,28.0,3920.0
14957,10300,2018-05-11,36.5,41.0,30.0,32.0,4556.0
14958,10400,2018-05-11,49.5,55.0,39.0,44.0,5646.0
14959,10500,2018-05-11,69.0,71.0,51.0,59.0,7358.0
14960,10600,2018-05-11,90.0,95.0,69.0,77.0,4590.0
14961,10700,2018-05-11,120.0,127.0,92.0,103.0,4554.0
14962,10800,2018-05-11,162.0,168.0,124.0,137.0,2950.0
14963,10900,2018-05-11,214.0,222.0,163.0,176.0,2634.0
14964,11000,2018-05-11,270.0,283.0,215.0,234.0,974.0
14965,11100,2018-05-11,367.0,367.0,280.0,300.0,440.0
14966,11200,2018-05-11,433.0,433.0,358.0,380.0,140.0
14967,11300,2018-05-11,510.0,510.0,434.0,445.0,22.0
14968,11400,2018-05-11,640.0,640.0,540.0,540.0,38.0
14969,11700,2018-05-11,910.0,910.0,910.0,910.0,4.0
14970,11800,2018-05-11,1010.0,1010.0,1010.0,1010.0,4.0
14971,8200,2018-05-11,2.1,2.1,1.7,2.0,558.0
14972,8300,2018-05-11,3.3,3.3,1.9,2.0,142.0
14973,8400,2018-05-11,2.6,2.6,2.2,2.2,106.0
14974,8500,2018-05-11,2.3,2.3,2.3,2.3,42.0
14975,8600,2018-05-11,2.4,2.5,2.4,2.5,68.0
14976,8700,2018-05-11,3.0,3.0,3.0,3.0,16.0
14977,8800,2018-05-11,3.4,3.5,3.2,3.5,70.0
14978,8900,2018-05-11,3.8,3.8,3.8,3.8,2.0
14979,9000,2018-05-11,4.6,4.7,4.0,4.0,372.0
14980,9100,2018-05-11,4.9,4.9,4.5,4.8,220.0
14981,9200,2018-05-11,5.8,5.8,5.0,5.0,212.0
14982,9300,2018-05-11,6.5,6.5,6.0,6.2,258.0
14983,9400,2018-05-11,7.5,7.5,6.9,7.0,424.0
14984,9500,2018-05-11,9.4,9.4,8.0,8.3,384.0
14985,9600,2018-05-11,10.0,11.0,8.3,8.8,714.0
14986,9700,2018-05-11,11.0,11.5,9.6,9.7,1578.0
14987,9800,2018-05-11,12.0,14.5,11.0,11.0,1386.0
14988,9900,2018-05-11,17.0,17.5,12.0,13.0,1396.0
14989,10000,2018-05-14,16.0,16.0,12.0,13.5,3910.0
14990,10100,2018-05-14,17.5,18.5,15.0,16.0,2154.0
14991,10200,2018-05-14,22.0,23.5,17.5,19.5,4168.0
14992,10300,2018-05-14,28.5,30.0,22.0,24.5,4334.0
14993,10400,2018-05-14,37.0,39.5,28.5,29.0,4114.0
